"编号";"位号";"封装";"数量";"名称";"供应商编号";
1;"J1";"Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal";1;"ARTPI-v1_LCD-RGB888-FPC";;;
2;"J2";"Hirose_FH12-45S-0.5SH_1x45-1MP_P0.50mm_Horizontal";1;"Friendly_LCD-S700-FPC";;;
